,0_0,0_1,0_2,1_1,1_2,2_2,1_0,2_0,2_1
S|1x1|1x2|2x2|0o0|0o2,0,0,0,0,0,0,0,0,0
S|0x1|1x1|2x1|0o0|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|1o0|2o2,0.015126299999999999,0,0.7,0,0.0,0,0,0,0.44700000000000006
S|0x0|1x1|2x0|1o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|1o0|2o2,0,0,0.7,0,0.21000000003659283,0,0,0,0.0
S|0x0|1x1|1x2|2x0|0o1|1o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|2x0|0o1|1o0|2o1|2o2,0,0,0.7,0,0,0,0,0,0
S|0x0|0x2|1x1|1x2|2x0|0o1|1o0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|2x0,0,0,0,0,0,0,0,0,0
S|2x0|2o2,0.0037110959266283016,0.28479838873762997,0.34464270050096596,0.0011399138968353874,0.18137012239108607,0,0.3261419882320139,0,3.4180464354165e-07
S|0x2|2x0|2o2,0,0,0,0,0,0,0,0,0
S|0x2|2x0|0o0|2o2,0,0.0,0,0.7,0,0,0,0,0
S|0x1|0x2|2x0|0o0|2o2,0,0,0,0,0,0,0,0,0
S|0x1|0x2|2x0|0o0|1o0|2o2,0,0,0,0.7,-1,0,0,0,-1
S|0x1|0x2|1x2|2x0|0o0|1o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|0o1|0o2|1o2,0,0,0,0,0,0.7,-1,-1,0
S|0x0|1x0|1x1|2x1|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|2x1|0o1|0o2|1o2|2o0,0,0,0,0,0,0.7,0,0,0
S|0x0|1x1|2x1|0o1|0o2|2o2,0,0,0,0,0.00023937681682331495,0,-1,-1,0
S|0x0|1x1|2x1|2x2|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|0o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|0o1|0o2,0.30000000000000004,0,0,0,0.7,0.30000000000000004,0,0,0
S|1x0|1x1|0o2|2o1,0.5862804158488469,0.18683259,0,0,0.7,0,0,0,0
S|0x1|1x0|1x1|0o2|2o1,0,0,0,0,0,0,0,0,0
S|0x1|1x0|1x1|0o2|2o0|2o1,0,0,0,0,0.7,0,0,0,0
S|0x1|1x0|1x1|1x2|0o2|2o0|2o1,0,0,0,0,0,0,0,0,0
S|1x0|1x1|0o0|0o2,0,0.30000000000000004,0,0,0.7,-1,0,0,0
S|1x0|1x1|2x2|0o0|0o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x2|0o0|0o2|1o2,0,3.0135756338072235e-12,0,0,0,0,0,-1,-1
S|1x0|1x1|1x2|0o0|0o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|0o2|1o2,-1,-1,0,0,0,6.358940202432559e-10,0,-1,-1
S|1x0|1x1|2x2|0o2|1o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x2|0o2|1o2|2o1,0.7,0,0,0,0,0,0,0.0,0
S|0x0|1x0|1x1|2x2|0o2|1o2|2o1,0,0,0,0,0,0,0,0,0
S|1x0|1x1|0o2|2o0,0.44700000000000006,0,0,0,0.7,0.0,0,0,0.5882352941066401
S|1x0|1x1|2x2|0o2|2o0,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x1|0o2|2o0,0,0,0,0,0,0,0,0,0
S|0x1|1x0|1x1|2x1|0o0|0o2|2o0,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x1|0o2|1o2|2o0,-1,0.7,0,0,0,0,0,0,0
S|0x1|1x0|1x1|2x1|0o2|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|0o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|0o2|2o2,0,-1,0,0,2.0764197484820507e-10,0,-1,-1,-1
S|0x0|0x1|1x1|0o2|2o2,0,0,0,0,0,0,0,0,0
S|0x0|0x1|1x1|0o2|2o0|2o2,0,0,0,0,-1,0,-1,0,0.7
S|0x0|0x1|1x0|1x1|0o2|2o0|2o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x1|0o1|0o2|2o0,0.5877659278453081,0,0,0,0.7,0.30000000000000004,0,0,0
